Rank,Strategy,Total PnL,Sharpe,Max DD,Win Rate,Trades,Profit Factor,Best Day,Worst Day,LB Score (PnL),LB Score (Sharpe),Time (s)
1,Composite Signal,100241.24,6.215876436948909,3092.600000000006,0.6584699453551912,366.0,3.1517164577655743,5225.9,-3092.6000000000004,100241.24,6.215876436948909,0.29
2,Day Of Week,93213.41,6.841798348291992,1517.6199999999953,0.7175572519083969,262.0,4.751267581034034,5225.9,-978.7900000000004,93213.41,6.841798348291992,0.3
3,Weekly Cycle,72640.24,4.348421667511011,5892.769999999997,0.6038251366120219,366.0,2.2029090962082325,5225.9,-3092.6000000000004,72640.24,4.348421667511011,0.23
4,Wind Forecast,56807.979999999996,3.3520372410196106,5225.9000000000015,0.5956284153005464,366.0,1.8317022010805628,3092.6000000000004,-5225.9,56807.979999999996,3.3520372410196106,0.26
5,Lag2 Reversion,51040.770000000004,3.438633181463668,4302.299999999996,0.6085106382978723,235.0,2.1813169124119023,5225.9,-3092.6000000000004,51040.770000000004,3.438633181463668,0.3
6,Load Forecast,31466.540000000005,1.8286086768146206,5225.9000000000015,0.5628415300546448,366.0,1.3886005864352244,3092.6000000000004,-5225.9,31466.540000000005,1.8286086768146206,0.19
7,Fossil Dispatch,29259.120000000003,1.698799980348491,7084.280000000001,0.546448087431694,366.0,1.3564807493387365,5225.9,-3092.6000000000004,29259.120000000003,1.698799980348491,0.26
8,Always Long,1240.9000000000028,0.07163789508582825,8992.45,0.4644808743169399,366.0,1.0129143635843463,3092.6000000000004,-5225.9,1240.9000000000028,0.07163789508582825,0.29
9,Always Short,-1240.9000000000028,-0.07163789508582825,9520.479999999998,0.5355191256830601,366.0,0.9872502907959101,5225.9,-3092.6000000000004,-1240.9000000000028,-0.07163789508582825,0.28
