year,strategy,standalone_pnl,standalone_rank,market_adjusted_pnl,market_adjusted_rank,rank_change,final_weight,weight_variance,max_forecast_correlation,loo_mae_delta,classification
2024,Renewable Regime,1940.3483,42,-234.9145,40,2,0.0,8.6e-07,0.9903,-0.0102,destabilising
2024,Renewables Penetration,1940.3483,42,-533.1004,61,-19,0.0,2.15e-06,0.9732,-0.0057,redundant
2024,Renewables Surplus,1766.0937,44,-517.6951,60,-16,0.0,1.1e-07,0.972,-0.004,redundant
2024,Ridge Net Demand,6931.635,18,-337.8123,51,-33,0.0,0.00023085,0.9935,-0.0095,redundant
2024,Ridge Regression,7042.2558,14,-110.6723,22,-8,0.0,0.00044813,0.9994,-0.0036,redundant
2024,SVMDirection,7240.5367,1,-79.4186,13,-12,0.0,1.84e-06,1.0,-0.0117,destabilising
2024,Solar Forecast,366.7225,53,9.5259,7,46,0.024648,0.00120119,0.8958,0.0566,weak
2024,Stacked Ridge Meta,6845.8267,22,57.1216,3,19,0.147799,0.05975612,0.9999,0.4073,redundant
2024,Temperature Extreme,-894.8083,66,-308.8706,48,18,0.0,0.0,0.928,0.0013,weak
2024,Top KEnsemble,7100.7117,9,-139.7133,30,-21,0.0,1.77e-06,1.0,-0.0224,destabilising
2024,Volatility Regime,371.4525,52,-533.6169,62,-10,0.0,7e-08,0.8644,-0.0077,weak
2024,Volatility Regime ML,310.6642,55,-183.1448,36,19,0.0,0.0,1.0,-0.0115,destabilising
2024,Weekday Weekend Ensemble,4542.2796,27,-180.6258,35,-8,0.0,7.2e-07,0.9997,0.0069,redundant
2024,Weekly Cycle,3026.6767,33,-64.1264,12,21,0.0,6.11e-06,0.7892,0.0035,robust
2024,Weighted Vote Mixed,7079.2958,13,-139.7133,30,-17,0.0,1.76e-06,1.0,-0.0088,redundant
2024,Wind Forecast,2366.9992,38,-1004.7649,67,-29,0.0,3.22e-06,0.9362,-0.0086,weak
2024,Wind Forecast Error,5608.4983,25,-92.2366,18,7,0.0,4.012e-05,0.8797,-0.0047,robust
2024,ZScore Momentum,-2850.995,67,-342.4771,52,15,0.0,0.0,0.9999,0.0,redundant
2025,Always Long,26.2066,59,-910.5134,65,-6,0.0,2e-08,1.0,-0.0004,redundant
2025,Always Short,-26.2066,62,-52.9196,6,56,0.0,0.00501471,1.0,0.0463,redundant
2025,Bayesian Ridge,6822.2424,10,-1.585,2,8,0.0,0.02363992,0.9998,0.0009,redundant
2025,Boosted Spread ML,4188.2981,28,-433.1424,40,-12,0.0,1.03e-06,0.9999,0.0041,redundant
2025,Carbon Trend,-206.8468,65,-350.2867,26,39,0.0,0.0,0.8663,0.0539,weak
2025,Commodity Cost,143.5414,54,-764.4443,63,-9,0.0,3e-08,0.8941,0.0006,weak
2025,Composite Signal,4062.2622,29,-907.9437,64,-35,0.0,8.69e-06,0.9508,-0.0032,redundant
