experiment_type,experiment_id,label,ema_alpha,init_mode,ablation,year,converged,n_iterations,final_delta,mae,rmse,bias,n_strategies,final_active_count,final_weight_entropy,final_top1_weight,outcome_class,elapsed_s
ema_sweep,ema_alpha_0.05,EMA alpha=0.05,0.05,default,none,2025,True,225,0.0,8.916,12.7813,0.4704,67,0,0.0,0.0,absorbing_collapse,0.07
ema_sweep,ema_alpha_0.10,EMA alpha=0.1,0.1,default,none,2025,True,327,0.0,8.9066,12.7514,0.4875,67,0,0.0,0.0,absorbing_collapse,0.11
ema_sweep,ema_alpha_0.20,EMA alpha=0.2,0.2,default,none,2025,False,500,9.029339,9.1367,13.3831,-1.1726,67,6,1.5301,0.3558,non_converged,0.17
ema_sweep,ema_alpha_0.30,EMA alpha=0.3,0.3,default,none,2025,False,500,3.13524,9.0394,13.0159,-0.5264,67,11,2.3142,0.1392,non_converged,0.16
ema_sweep,ema_alpha_0.50,EMA alpha=0.5,0.5,default,none,2025,False,500,9.631178,9.0138,13.184,0.09,67,5,0.9288,0.682,non_converged,0.17
ema_sweep,ema_alpha_1.00,EMA alpha=1.0,1.0,default,none,2025,False,500,42.648608,10.0214,14.6575,0.4299,67,35,3.1656,0.0652,non_converged,0.15
init_sensitivity,init_default,Init: last settlement (default),0.1,default,none,2025,True,327,0.0,8.9066,12.7514,0.4875,67,0,0.0,0.0,absorbing_collapse,0.1
init_sensitivity,init_forecast_mean,Init: mean of all strategy forecasts,0.1,forecast_mean,none,2025,False,500,0.807446,8.9559,12.9306,-0.1817,67,11,2.2868,0.2009,non_converged,0.15
init_sensitivity,init_constant_50,Init: constant 50 EUR/MWh,0.1,constant_50,none,2025,False,500,0.429131,8.9111,12.7493,0.5024,67,4,1.1402,0.35,non_converged,0.15
init_sensitivity,init_real_prices,Init: real prices (oracle),0.1,real_prices,none,2025,True,1,0.0,0.0,0.0,0.0,67,0,0.0,0.0,absorbing_collapse,0.0
ablation,ablation_baseline,Baseline: all 67 strategies,0.1,default,none,2025,True,327,0.0,8.9066,12.7514,0.4875,67,0,0.0,0.0,absorbing_collapse,0.08
ablation,remove_naive_baselines,Remove naive_baselines (2 strategies),0.1,default,remove_naive_baselines,2025,False,500,1.007101,8.9553,12.9266,-0.0159,65,10,2.1971,0.1772,non_converged,0.09
ablation,remove_calendar_temporal,Remove calendar_temporal (6 strategies),0.1,default,remove_calendar_temporal,2025,False,500,1.064947,9.1081,12.9986,0.4435,61,10,2.1561,0.2081,non_converged,0.1
ablation,remove_mean_reversion,Remove mean_reversion (5 strategies),0.1,default,remove_mean_reversion,2025,True,288,0.0,8.9154,12.74,0.5823,63,0,0.0,0.0,absorbing_collapse,0.05
ablation,remove_momentum_trend,Remove momentum_trend (5 strategies),0.1,default,remove_momentum_trend,2025,True,150,0.0,8.9075,12.7479,0.5043,62,0,0.0,0.0,absorbing_collapse,0.03
ablation,remove_supply_side,Remove supply_side (5 strategies),0.1,default,remove_supply_side,2025,False,500,4.628167,8.9455,12.884,0.3194,62,4,1.2246,0.4238,non_converged,0.08
ablation,remove_demand_side,Remove demand_side (5 strategies),0.1,default,remove_demand_side,2025,True,60,0.0,8.9125,12.7567,0.5558,62,0,0.0,0.0,absorbing_collapse,0.02
ablation,remove_commodity_cost,Remove commodity_cost (1 strategies),0.1,default,remove_commodity_cost,2025,True,365,0.0,8.9072,12.7434,0.6186,66,0,0.0,0.0,absorbing_collapse,0.09
ablation,remove_renewables_regime,Remove renewables_regime (4 strategies),0.1,default,remove_renewables_regime,2025,True,227,0.0,8.9066,12.7494,0.5564,63,0,0.0,0.0,absorbing_collapse,0.04
ablation,remove_cross_border_spread,Remove cross_border_spread (6 strategies),0.1,default,remove_cross_border_spread,2025,True,215,0.0,8.9395,12.7802,0.4801,63,0,0.0,0.0,absorbing_collapse,0.04
ablation,remove_ml_regression,Remove ml_regression (11 strategies),0.1,default,remove_ml_regression,2025,True,91,0.0,8.9896,12.8498,0.8363,56,0,0.0,0.0,absorbing_collapse,0.02
ablation,remove_ml_classification,Remove ml_classification (6 strategies),0.1,default,remove_ml_classification,2025,False,500,2.170267,8.9278,12.8602,-0.0129,61,4,1.3096,0.3953,non_converged,0.09
ablation,remove_ensemble_meta,Remove ensemble_meta (12 strategies),0.1,default,remove_ensemble_meta,2025,False,500,0.682581,9.1098,13.0733,-0.0785,55,5,1.2374,0.5615,non_converged,0.08
ablation,remove_all_ml,Remove all ML (regression + classification),0.1,default,remove_all_ml,2025,True,51,0.0,9.0258,12.9171,0.7865,50,0,0.0,0.0,absorbing_collapse,0.01
ablation,keep_only_ml,Keep only ML strategies,0.1,default,keep_only_ml,2025,True,47,0.0,9.3044,13.0686,0.2545,17,0,0.0,0.0,absorbing_collapse,0.01
ablation,keep_only_rule_based,Keep only rule-based strategies,0.1,default,keep_only_rule_based,2025,True,110,0.0,9.1955,13.2191,0.1667,36,0,0.0,0.0,absorbing_collapse,0.01
ablation,keep_only_ensemble,Keep only ensemble strategies,0.1,default,keep_only_ensemble,2025,True,31,0.0,9.1285,12.9385,1.3687,12,0,0.0,0.0,absorbing_collapse,0.0
