id,label,converged,genuinely_monotone,n_iterations,final_delta,mae,n_spikes,longest_mono_tail,weight_mode,softmax_temp,running_avg_k,soft_sign_sigma,weight_ema_beta,profit_ema_beta,alpha,year
R2_G1_T3.0,Softmax T=3.0,False,False,400,26.784065,11.0331,399,2,softmax,3.0,,,,,1.0,2024
R2_G1_T4.0,Softmax T=4.0,False,False,400,26.78408,11.0331,399,3,softmax,4.0,,,,,1.0,2024
R2_G1_T6.0,Softmax T=6.0,False,False,400,26.7857,11.0331,399,4,softmax,6.0,,,,,1.0,2024
R2_G1_T8.0,Softmax T=8.0,False,False,400,26.801145,11.0331,399,4,softmax,8.0,,,,,1.0,2024
R2_G1_T12.0,Softmax T=12.0,False,False,400,26.962542,11.3179,398,4,softmax,12.0,,,,,1.0,2024
R2_G1_T15.0,Softmax T=15.0,False,False,400,27.230431,11.3051,399,6,softmax,15.0,,,,,1.0,2024
R2_G1_T25.0,Softmax T=25.0,False,False,400,28.472929,11.033,399,7,softmax,25.0,,,,,1.0,2024
R2_G1_T30.0,Softmax T=30.0,False,False,400,29.023359,11.0324,399,5,softmax,30.0,,,,,1.0,2024
R2_G6_T5.0_K7,Softmax T=5.0 + K=7,False,False,400,42.673095,10.5225,350,4,softmax,5.0,7.0,,,,1.0,2024
R2_G6_T5.0_K12,Softmax T=5.0 + K=12,True,True,17,0.0,10.4361,15,5,softmax,5.0,12.0,,,,1.0,2024
R2_G6_T5.0_K15,Softmax T=5.0 + K=15,True,True,20,0.000766,10.3148,17,5,softmax,5.0,15.0,,,,1.0,2024
R2_G6_T5.0_K20,Softmax T=5.0 + K=20,True,True,193,0.0,10.165,117,5,softmax,5.0,20.0,,,,1.0,2024
R2_G6_T5.0_K25,Softmax T=5.0 + K=25,True,True,30,0.0,10.2535,24,5,softmax,5.0,25.0,,,,1.0,2024
R2_G6_T8.0_K7,Softmax T=8.0 + K=7,False,False,400,42.675026,10.5133,350,4,softmax,8.0,7.0,,,,1.0,2024
R2_G6_T8.0_K12,Softmax T=8.0 + K=12,True,True,17,0.000203,10.3379,14,5,softmax,8.0,12.0,,,,1.0,2024
R2_G6_T8.0_K15,Softmax T=8.0 + K=15,True,True,120,5e-06,10.1497,75,5,softmax,8.0,15.0,,,,1.0,2024
R2_G6_T8.0_K20,Softmax T=8.0 + K=20,False,False,400,5.036395,10.162,266,6,softmax,8.0,20.0,,,,1.0,2024
R2_G6_T8.0_K25,Softmax T=8.0 + K=25,True,True,83,0.003532,10.266,47,5,softmax,8.0,25.0,,,,1.0,2024
R2_G6_T10.0_K7,Softmax T=10.0 + K=7,False,False,400,42.675081,10.5079,350,5,softmax,10.0,7.0,,,,1.0,2024
R2_G6_T10.0_K12,Softmax T=10.0 + K=12,False,False,400,0.0,10.49,216,6,softmax,10.0,12.0,,,,1.0,2024
R2_G6_T10.0_K15,Softmax T=10.0 + K=15,True,True,175,5.5e-05,10.3998,106,5,softmax,10.0,15.0,,,,1.0,2024
R2_G6_T10.0_K20,Softmax T=10.0 + K=20,True,True,79,0.00796,10.1628,50,5,softmax,10.0,20.0,,,,1.0,2024
R2_G6_T10.0_K25,Softmax T=10.0 + K=25,True,True,173,0.003206,10.2124,94,5,softmax,10.0,25.0,,,,1.0,2024
R2_G6_T15.0_K7,Softmax T=15.0 + K=7,False,False,400,40.09223,10.4939,253,4,softmax,15.0,7.0,,,,1.0,2024
R2_G6_T15.0_K12,Softmax T=15.0 + K=12,False,False,400,2.643553,10.3808,262,6,softmax,15.0,12.0,,,,1.0,2024
R2_G6_T15.0_K15,Softmax T=15.0 + K=15,True,True,70,0.000438,10.1926,55,5,softmax,15.0,15.0,,,,1.0,2024
R2_G6_T15.0_K20,Softmax T=15.0 + K=20,True,True,46,0.005194,10.2011,32,5,softmax,15.0,20.0,,,,1.0,2024
R2_G6_T15.0_K25,Softmax T=15.0 + K=25,True,True,212,0.00298,10.167,142,6,softmax,15.0,25.0,,,,1.0,2024
R2_G3_b0.75,Weight EMA beta=0.75,False,False,400,4.794635,10.3176,399,6,linear,1.0,,,0.75,,1.0,2024
R2_G3_b0.8,Weight EMA beta=0.8,False,False,400,4.294949,10.2544,398,8,linear,1.0,,,0.8,,1.0,2024
R2_G3_b0.87,Weight EMA beta=0.87,False,False,400,3.662054,10.2888,388,12,linear,1.0,,,0.87,,1.0,2024
R2_G3_b0.92,Weight EMA beta=0.92,False,False,400,1.902013,10.2927,355,17,linear,1.0,,,0.92,,1.0,2024
R2_G3_b0.93,Weight EMA beta=0.93,False,False,400,1.403644,10.3003,337,20,linear,1.0,,,0.93,,1.0,2024
R2_G3_b0.95,Weight EMA beta=0.95,False,False,400,1.168201,10.3008,140,28,linear,1.0,,,0.95,,1.0,2024
R2_G3_b0.97,Weight EMA beta=0.97,True,True,211,0.005515,10.2764,19,48,linear,1.0,,,0.97,,1.0,2024
R2_G5_K7_b0.8,K=7 + Weight EMA beta=0.8,False,False,400,3.049449,10.338,368,7,linear,1.0,7.0,,0.8,,1.0,2024
R2_G5_K10_b0.8,K=10 + Weight EMA beta=0.8,False,False,400,2.522434,10.3343,339,9,linear,1.0,10.0,,0.8,,1.0,2024
R2_G5_K12_b0.8,K=12 + Weight EMA beta=0.8,False,False,400,4.046035,10.3056,313,11,linear,1.0,12.0,,0.8,,1.0,2024
R2_G5_K15_b0.8,K=15 + Weight EMA beta=0.8,False,False,400,3.21585,10.3662,269,14,linear,1.0,15.0,,0.8,,1.0,2024
R2_G5_K7_b0.85,K=7 + Weight EMA beta=0.85,False,False,400,2.58919,10.3051,338,10,linear,1.0,7.0,,0.85,,1.0,2024
R2_G5_K10_b0.85,K=10 + Weight EMA beta=0.85,False,False,400,3.485442,10.3036,336,9,linear,1.0,10.0,,0.85,,1.0,2024
R2_G5_K12_b0.85,K=12 + Weight EMA beta=0.85,False,False,400,1.771863,10.3376,324,11,linear,1.0,12.0,,0.85,,1.0,2024
R2_G5_K15_b0.85,K=15 + Weight EMA beta=0.85,False,False,400,1.297089,10.3538,285,14,linear,1.0,15.0,,0.85,,1.0,2024
R2_G5_K7_b0.9,K=7 + Weight EMA beta=0.9,False,False,400,2.082164,10.3007,308,15,linear,1.0,7.0,,0.9,,1.0,2024
