id,label,converged,genuinely_monotone,n_iterations,final_delta,mae,n_spikes,longest_mono_tail,weight_mode,softmax_temp,running_avg_k,soft_sign_sigma,weight_ema_beta,profit_ema_beta,alpha,year
R2_G6_T5.0_K12,Softmax T=5.0 + K=12,True,True,17,0.0,10.4361,15,5,softmax,5.0,12,,,,1.0,2024
R2_G6_T5.0_K15,Softmax T=5.0 + K=15,True,True,20,0.000766,10.3148,17,5,softmax,5.0,15,,,,1.0,2024
R2_G6_T5.0_K20,Softmax T=5.0 + K=20,True,True,193,0.0,10.165,117,5,softmax,5.0,20,,,,1.0,2024
R2_G6_T5.0_K25,Softmax T=5.0 + K=25,True,True,30,0.0,10.2535,24,5,softmax,5.0,25,,,,1.0,2024
R2_G6_T8.0_K12,Softmax T=8.0 + K=12,True,True,17,0.000203,10.3379,14,5,softmax,8.0,12,,,,1.0,2024
R2_G6_T8.0_K15,Softmax T=8.0 + K=15,True,True,120,5e-06,10.1497,75,5,softmax,8.0,15,,,,1.0,2024
R2_G6_T8.0_K25,Softmax T=8.0 + K=25,True,True,83,0.003532,10.266,47,5,softmax,8.0,25,,,,1.0,2024
R2_G6_T10.0_K15,Softmax T=10.0 + K=15,True,True,175,5.5e-05,10.3998,106,5,softmax,10.0,15,,,,1.0,2024
R2_G6_T10.0_K20,Softmax T=10.0 + K=20,True,True,79,0.00796,10.1628,50,5,softmax,10.0,20,,,,1.0,2024
R2_G6_T10.0_K25,Softmax T=10.0 + K=25,True,True,173,0.003206,10.2124,94,5,softmax,10.0,25,,,,1.0,2024
R2_G6_T15.0_K15,Softmax T=15.0 + K=15,True,True,70,0.000438,10.1926,55,5,softmax,15.0,15,,,,1.0,2024
R2_G6_T15.0_K20,Softmax T=15.0 + K=20,True,True,46,0.005194,10.2011,32,5,softmax,15.0,20,,,,1.0,2024
R2_G6_T15.0_K25,Softmax T=15.0 + K=25,True,True,212,0.00298,10.167,142,6,softmax,15.0,25,,,,1.0,2024
R3_G6_T7.0_K8,Softmax T=7.0 + K=8,False,False,500,3.926106,10.533,280,4,softmax,7.0,8,,,,1.0,2024
R3_G6_T7.0_K10,Softmax T=7.0 + K=10,False,False,500,1.975534,10.405,278,4,softmax,7.0,10,,,,1.0,2024
R3_G6_T7.0_K12,Softmax T=7.0 + K=12,True,True,322,0.000286,10.3806,205,5,softmax,7.0,12,,,,1.0,2024
R3_G6_T7.0_K14,Softmax T=7.0 + K=14,True,True,52,0.009828,10.3992,33,5,softmax,7.0,14,,,,1.0,2024
R3_G6_T7.0_K16,Softmax T=7.0 + K=16,True,True,139,0.000342,10.2093,89,5,softmax,7.0,16,,,,1.0,2024
R3_G6_T7.0_K18,Softmax T=7.0 + K=18,False,False,500,1.744931,10.1655,271,5,softmax,7.0,18,,,,1.0,2024
R3_G6_T9.0_K8,Softmax T=9.0 + K=8,False,False,500,3.926112,10.5331,280,4,softmax,9.0,8,,,,1.0,2024
R3_G6_T9.0_K10,Softmax T=9.0 + K=10,True,True,194,0.000424,10.4016,124,5,softmax,9.0,10,,,,1.0,2024
R3_G6_T9.0_K12,Softmax T=9.0 + K=12,True,True,17,0.000271,10.4153,15,5,softmax,9.0,12,,,,1.0,2024
R3_G6_T9.0_K14,Softmax T=9.0 + K=14,True,True,37,7.4e-05,10.4039,25,5,softmax,9.0,14,,,,1.0,2024
R3_G6_T9.0_K16,Softmax T=9.0 + K=16,True,True,75,6.1e-05,10.1905,48,5,softmax,9.0,16,,,,1.0,2024
R3_G6_T9.0_K18,Softmax T=9.0 + K=18,True,True,54,7.8e-05,10.1474,36,5,softmax,9.0,18,,,,1.0,2024
R3_G6_T11.0_K8,Softmax T=11.0 + K=8,False,False,500,3.926134,10.5335,280,4,softmax,11.0,8,,,,1.0,2024
R3_G6_T11.0_K10,Softmax T=11.0 + K=10,True,True,65,0.009386,10.4902,43,5,softmax,11.0,10,,,,1.0,2024
R3_G6_T11.0_K12,Softmax T=11.0 + K=12,True,True,47,0.008796,10.2372,32,5,softmax,11.0,12,,,,1.0,2024
R3_G6_T11.0_K14,Softmax T=11.0 + K=14,True,True,68,0.000283,10.175,46,6,softmax,11.0,14,,,,1.0,2024
R3_G6_T11.0_K16,Softmax T=11.0 + K=16,True,True,74,0.00086,10.1983,47,5,softmax,11.0,16,,,,1.0,2024
R3_G6_T11.0_K18,Softmax T=11.0 + K=18,True,True,99,0.000283,10.1741,59,5,softmax,11.0,18,,,,1.0,2024
R3_G6_T13.0_K8,Softmax T=13.0 + K=8,True,True,41,0.003284,10.4505,22,5,softmax,13.0,8,,,,1.0,2024
R3_G6_T13.0_K10,Softmax T=13.0 + K=10,False,False,500,0.0,10.4006,367,4,softmax,13.0,10,,,,1.0,2024
R3_G6_T13.0_K12,Softmax T=13.0 + K=12,False,False,500,1.547595,10.3646,348,5,softmax,13.0,12,,,,1.0,2024
R3_G6_T13.0_K14,Softmax T=13.0 + K=14,True,True,146,0.003255,10.3046,96,5,softmax,13.0,14,,,,1.0,2024
R3_G6_T13.0_K16,Softmax T=13.0 + K=16,True,True,21,0.004387,10.2729,19,5,softmax,13.0,16,,,,1.0,2024
R3_G6_T13.0_K18,Softmax T=13.0 + K=18,True,True,81,0.003704,10.1636,61,6,softmax,13.0,18,,,,1.0,2024
R3_G5_K8_b0.82,K=8 + Weight EMA beta=0.82,False,False,500,2.511317,10.3058,439,8,linear,1.0,8,,0.82,,1.0,2024
R3_G5_K10_b0.82,K=10 + Weight EMA beta=0.82,False,False,500,3.886527,10.3098,427,9,linear,1.0,10,,0.82,,1.0,2024
R3_G5_K12_b0.82,K=12 + Weight EMA beta=0.82,False,False,500,2.98449,10.3339,399,11,linear,1.0,12,,0.82,,1.0,2024
R3_G5_K14_b0.82,K=14 + Weight EMA beta=0.82,False,False,500,2.009743,10.3341,363,13,linear,1.0,14,,0.82,,1.0,2024
R3_G5_K8_b0.84,K=8 + Weight EMA beta=0.84,False,False,500,0.876401,10.3484,434,9,linear,1.0,8,,0.84,,1.0,2024
R3_G5_K10_b0.84,K=10 + Weight EMA beta=0.84,False,False,500,3.960216,10.302,426,9,linear,1.0,10,,0.84,,1.0,2024
R3_G5_K12_b0.84,K=12 + Weight EMA beta=0.84,False,False,500,1.260312,10.3327,390,11,linear,1.0,12,,0.84,,1.0,2024
R3_G5_K14_b0.84,K=14 + Weight EMA beta=0.84,False,False,500,1.365719,10.3783,366,13,linear,1.0,14,,0.84,,1.0,2024
R3_G5_K8_b0.86,K=8 + Weight EMA beta=0.86,False,False,500,0.266823,10.3505,420,10,linear,1.0,8,,0.86,,1.0,2024
