case_id,iteration,convergence_delta,mae,rmse,bias,active_count,weight_entropy,top1_strategy,top1_weight,top3_strategies,top3_weights,dominant_cluster,cluster_weight
hvnc_2024,76,2.859061,31.5752,55.7604,-6.3644,7,1.8443,Median Forecast Ensemble,0.220933,Median Forecast Ensemble; Bayesian Ridge; Lasso Calendar Augmented,0.220933; 0.172407; 0.158677,1,1.0
hvnc_2024,77,0.947296,31.4551,55.7127,-6.4408,6,1.4636,Stacked Ridge Meta,0.421112,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.421112; 0.212757; 0.198923,1,0.9783
hvnc_2024,78,2.346692,31.501,55.6568,-6.2016,5,1.3072,Stacked Ridge Meta,0.486893,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.486893; 0.232918; 0.140317,1,0.8601
hvnc_2024,79,2.650518,31.4833,55.7143,-6.5662,6,1.7608,Median Forecast Ensemble,0.264964,Median Forecast Ensemble; Bayesian Ridge; Mean Forecast Regression,0.264964; 0.155013; 0.150471,1,1.0
hvnc_2024,80,5.265849,31.7291,55.7256,-5.92,5,1.0443,Stacked Ridge Meta,0.653375,Stacked Ridge Meta; Lag2Reversion; Solar Forecast,0.653375; 0.177439; 0.078562,1,0.6692
hvnc_2024,81,2.971527,31.6522,55.7653,-6.3165,7,1.8692,Median Forecast Ensemble,0.202461,Median Forecast Ensemble; Lasso Calendar Augmented; Lasso Regression,0.202461; 0.177867; 0.177867,1,1.0
hvnc_2024,82,1.566378,31.4628,55.7041,-6.3872,6,1.4394,Stacked Ridge Meta,0.46255,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.462550; 0.238964; 0.133943,1,1.0
hvnc_2024,83,0.367871,31.4023,55.6654,-6.4125,7,1.4773,Stacked Ridge Meta,0.390147,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.390147; 0.264481; 0.197018,1,0.9511
hvnc_2024,84,0.766114,31.4164,55.7013,-6.2749,9,1.8047,Stacked Ridge Meta,0.352125,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.352125; 0.186962; 0.173196,1,0.918
hvnc_2024,85,1.724956,31.4052,55.6398,-6.2084,6,1.5439,Stacked Ridge Meta,0.446461,Stacked Ridge Meta; PLSRegression; Mean Forecast Regression,0.446461; 0.178913; 0.123752,1,0.8928
hvnc_2024,86,2.291579,31.446,55.689,-6.5053,8,1.8785,Mean Forecast Regression,0.217268,Mean Forecast Regression; PLSRegression; Median Forecast Ensemble,0.217268; 0.203579; 0.173864,1,0.998
hvnc_2024,87,7.721511,31.8431,55.7669,-5.6357,4,1.1346,Stacked Ridge Meta,0.548907,Stacked Ridge Meta; Lag2Reversion; Solar Forecast,0.548907; 0.248443; 0.122677,1,0.5489
hvnc_2024,88,3.171791,31.7561,55.796,-6.0645,8,1.9442,Lasso Calendar Augmented,0.184688,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.184688; 0.184688; 0.177386,1,1.0
hvnc_2024,89,2.699322,31.6314,55.7972,-6.3823,7,1.7739,Lasso Calendar Augmented,0.249488,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.249488; 0.249488; 0.182427,1,1.0
hvnc_2024,90,1.837567,31.4203,55.633,-6.2296,4,0.6224,Stacked Ridge Meta,0.835601,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.835601; 0.074543; 0.046097,1,0.9562
hvnc_2024,91,2.104008,31.4554,55.687,-6.4914,7,1.7089,PLSRegression,0.34095,PLSRegression; Mean Forecast Regression; Lasso Calendar Augmented,0.340950; 0.197377; 0.140521,1,1.0
hvnc_2024,92,5.484603,31.6439,55.6905,-5.8544,5,1.2254,Stacked Ridge Meta,0.566479,Stacked Ridge Meta; Lag2Reversion; PLSRegression,0.566479; 0.188124; 0.122602,1,0.6891
hvnc_2024,93,2.956055,31.5839,55.7398,-6.274,7,1.8698,Median Forecast Ensemble,0.223655,Median Forecast Ensemble; Mean Forecast Regression; Bayesian Ridge,0.223655; 0.184779; 0.169397,1,1.0
hvnc_2024,94,1.744571,31.4363,55.6915,-6.4092,7,1.5596,Stacked Ridge Meta,0.43033,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.430330; 0.216277; 0.145075,1,1.0
hvnc_2024,95,1.744806,31.4277,55.63,-6.2308,6,1.3778,Stacked Ridge Meta,0.506848,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.506848; 0.211472; 0.109492,1,0.8859
hvnc_2024,96,2.274506,31.43,55.6726,-6.5107,8,1.8908,PLSRegression,0.207318,PLSRegression; Mean Forecast Regression; Median Forecast Ensemble,0.207318; 0.181959; 0.173307,1,0.9985
hvnc_2024,97,4.65922,31.6706,55.7472,-5.8435,5,1.3057,Stacked Ridge Meta,0.547269,Stacked Ridge Meta; Lag2Reversion; PLSRegression,0.547269; 0.146483; 0.118387,1,0.6657
hvnc_2024,98,2.878653,31.6016,55.7895,-6.2506,7,1.8901,Median Forecast Ensemble,0.188006,Median Forecast Ensemble; Lasso Calendar Augmented; Lasso Regression,0.188006; 0.174516; 0.174516,1,1.0
hvnc_2024,99,1.400994,31.4655,55.7216,-6.352,8,1.5063,Stacked Ridge Meta,0.476601,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.476601; 0.222461; 0.125188,1,0.9922
