case_id,iteration,convergence_delta,mae,rmse,bias,active_count,weight_entropy,top1_strategy,top1_weight,top3_strategies,top3_weights,dominant_cluster,cluster_weight
ealost_2024,67,0.805039,23.9034,24.8915,-15.2757,6,1.7781,Median Forecast Ensemble,0.226189,Median Forecast Ensemble; Bayesian Ridge; Lasso Calendar Augmented,0.226189; 0.171225; 0.156425,1,1.0
ealost_2024,68,0.636311,23.4605,24.4517,-14.8403,6,1.1312,Stacked Ridge Meta,0.607501,Stacked Ridge Meta; PLSRegression; Lag2Reversion,0.607501; 0.195889; 0.126898,1,0.8487
ealost_2024,69,0.791767,24.0132,25.003,-15.3803,7,1.778,Median Forecast Ensemble,0.200754,Median Forecast Ensemble; Lasso Calendar Augmented; Lasso Regression,0.200754; 0.187300; 0.187300,1,0.9994
ealost_2024,70,1.29514,23.0633,24.0635,-14.5298,5,1.2719,Stacked Ridge Meta,0.564671,Stacked Ridge Meta; Lag2Reversion; PLSRegression,0.564671; 0.145379; 0.128842,1,0.6935
ealost_2024,71,0.838197,23.6537,24.6488,-15.1052,7,1.8626,Median Forecast Ensemble,0.201028,Median Forecast Ensemble; Lasso Calendar Augmented; Lasso Regression,0.201028; 0.175259; 0.175259,1,1.0
ealost_2024,72,0.328094,23.839,24.8327,-15.1593,6,1.4159,Stacked Ridge Meta,0.477483,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.477483; 0.212581; 0.149071,1,1.0
ealost_2024,73,0.383028,23.5572,24.5537,-14.9335,6,1.3998,Stacked Ridge Meta,0.438689,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.438689; 0.232313; 0.148702,1,0.8556
ealost_2024,74,0.732012,24.0679,25.064,-15.4264,7,1.795,Median Forecast Ensemble,0.212446,Median Forecast Ensemble; PLSRegression; Lasso Calendar Augmented,0.212446; 0.193572; 0.184801,1,0.9903
ealost_2024,75,1.306319,23.1361,24.1357,-14.5542,6,1.095,Stacked Ridge Meta,0.679392,Stacked Ridge Meta; Lag2Reversion; Solar Forecast,0.679392; 0.119939; 0.081980,1,0.7343
ealost_2024,76,0.84476,23.7112,24.7036,-15.129,7,1.8443,Median Forecast Ensemble,0.220933,Median Forecast Ensemble; Bayesian Ridge; Lasso Calendar Augmented,0.220933; 0.172407; 0.158677,1,1.0
ealost_2024,77,0.252208,23.8774,24.8722,-15.1943,6,1.4636,Stacked Ridge Meta,0.421112,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.421112; 0.212757; 0.198923,1,0.9783
ealost_2024,78,0.465216,23.5499,24.5472,-14.8826,5,1.3072,Stacked Ridge Meta,0.486893,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.486893; 0.232918; 0.140317,1,0.8601
ealost_2024,79,0.778377,24.0929,25.0869,-15.4242,6,1.7608,Median Forecast Ensemble,0.264964,Median Forecast Ensemble; Bayesian Ridge; Mean Forecast Regression,0.264964; 0.155013; 0.150471,1,1.0
ealost_2024,80,1.538102,22.9712,23.9705,-14.4519,5,1.0443,Stacked Ridge Meta,0.653375,Stacked Ridge Meta; Lag2Reversion; Solar Forecast,0.653375; 0.177439; 0.078562,1,0.6692
ealost_2024,81,0.859363,23.5603,24.552,-15.0351,7,1.8692,Median Forecast Ensemble,0.202461,Median Forecast Ensemble; Lasso Calendar Augmented; Lasso Regression,0.202461; 0.177867; 0.177867,1,1.0
ealost_2024,82,0.385213,23.7887,24.7845,-15.1093,6,1.4394,Stacked Ridge Meta,0.46255,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.462550; 0.238964; 0.133943,1,1.0
ealost_2024,83,0.165012,23.8894,24.8901,-15.1486,7,1.4773,Stacked Ridge Meta,0.390147,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.390147; 0.264481; 0.197018,1,0.9511
ealost_2024,84,0.196134,23.7932,24.7913,-14.9938,9,1.8047,Stacked Ridge Meta,0.352125,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.352125; 0.186962; 0.173196,1,0.918
ealost_2024,85,0.230045,23.6297,24.6272,-14.8682,6,1.5439,Stacked Ridge Meta,0.446461,Stacked Ridge Meta; PLSRegression; Mean Forecast Regression,0.446461; 0.178913; 0.123752,1,0.8928
ealost_2024,86,0.702648,24.1218,25.1189,-15.3363,8,1.8785,Mean Forecast Regression,0.217268,Mean Forecast Regression; PLSRegression; Median Forecast Ensemble,0.217268; 0.203579; 0.173864,1,0.998
ealost_2024,87,2.020012,22.6204,23.6229,-14.1329,4,1.1346,Stacked Ridge Meta,0.548907,Stacked Ridge Meta; Lag2Reversion; Solar Forecast,0.548907; 0.248443; 0.122677,1,0.5489
ealost_2024,88,0.911722,23.2419,24.2339,-14.7489,8,1.9442,Lasso Calendar Augmented,0.184688,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.184688; 0.184688; 0.177386,1,1.0
ealost_2024,89,0.695082,23.7033,24.6873,-15.1905,7,1.7739,Lasso Calendar Augmented,0.249488,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.249488; 0.249488; 0.182427,1,1.0
ealost_2024,90,0.4814,23.4419,24.421,-14.7906,4,0.6224,Stacked Ridge Meta,0.835601,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.835601; 0.074543; 0.046097,1,0.9562
ealost_2024,91,0.806547,24.0046,24.9931,-15.2845,7,1.7089,PLSRegression,0.34095,PLSRegression; Mean Forecast Regression; Lasso Calendar Augmented,0.340950; 0.197377; 0.140521,1,1.0
ealost_2024,92,1.397799,22.9842,23.9759,-14.4184,5,1.2254,Stacked Ridge Meta,0.566479,Stacked Ridge Meta; Lag2Reversion; PLSRegression,0.566479; 0.188124; 0.122602,1,0.6891
ealost_2024,93,0.864484,23.574,24.5583,-15.0096,7,1.8698,Median Forecast Ensemble,0.223655,Median Forecast Ensemble; Mean Forecast Regression; Bayesian Ridge,0.223655; 0.184779; 0.169397,1,1.0
ealost_2024,94,0.291872,23.8023,24.7864,-15.1212,7,1.5596,Stacked Ridge Meta,0.43033,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.430330; 0.216277; 0.145075,1,1.0
ealost_2024,95,0.3751,23.5592,24.546,-14.8691,6,1.3778,Stacked Ridge Meta,0.506848,Stacked Ridge Meta; PLSRegression; Median Forecast Ensemble,0.506848; 0.211472; 0.109492,1,0.8859
ealost_2024,96,0.692112,24.0461,25.0344,-15.3182,8,1.8908,PLSRegression,0.207318,PLSRegression; Mean Forecast Regression; Median Forecast Ensemble,0.207318; 0.181959; 0.173307,1,0.9985
ealost_2024,97,1.420515,22.9988,23.9993,-14.3957,5,1.3057,Stacked Ridge Meta,0.547269,Stacked Ridge Meta; Lag2Reversion; PLSRegression,0.547269; 0.146483; 0.118387,1,0.6657
ealost_2024,98,0.867394,23.5867,24.5784,-14.9857,7,1.8901,Median Forecast Ensemble,0.188006,Median Forecast Ensemble; Lasso Calendar Augmented; Lasso Regression,0.188006; 0.174516; 0.174516,1,1.0
ealost_2024,99,0.274507,23.7466,24.7364,-15.0358,8,1.5063,Stacked Ridge Meta,0.476601,Stacked Ridge Meta; Median Forecast Ensemble; PLSRegression,0.476601; 0.222461; 0.125188,1,0.9922
