case_id,iteration,convergence_delta,mae,rmse,bias,active_count,weight_entropy,top1_strategy,top1_weight,top3_strategies,top3_weights,dominant_cluster,cluster_weight
ealost_2025,0,inf,3.1124,4.6315,2.0051,60,3.8078,Gradient Boosting,0.030618,Gradient Boosting; Top KEnsemble; Logistic Direction,0.030618; 0.030281; 0.030266,2,0.5997
ealost_2025,1,1.71997,3.3987,5.2967,2.7415,39,3.3325,Elastic Net,0.056856,Elastic Net; Mean Forecast Regression; Bayesian Ridge,0.056856; 0.056247; 0.056097,1,0.6482
ealost_2025,2,1.586888,4.6296,6.1386,3.412,39,3.2979,Elastic Net,0.059423,Elastic Net; Bayesian Ridge; Mean Forecast Regression,0.059423; 0.058382; 0.058363,1,0.6725
ealost_2025,3,1.492344,5.8397,7.0535,4.0252,37,3.2331,Elastic Net,0.06255,Elastic Net; Bayesian Ridge; Stacked Ridge Meta,0.062550; 0.061822; 0.061484,1,0.707
ealost_2025,4,1.406727,6.9543,7.9675,4.5772,35,3.1718,Elastic Net,0.065739,Elastic Net; Bayesian Ridge; Mean Forecast Regression,0.065739; 0.063908; 0.063643,1,0.7311
ealost_2025,5,1.294252,7.9609,8.8358,5.066,34,3.1359,Elastic Net,0.067468,Elastic Net; Bayesian Ridge; Median Forecast Ensemble,0.067468; 0.065497; 0.065376,1,0.7473
ealost_2025,6,1.229659,8.9238,9.697,5.5371,30,3.0262,Elastic Net,0.073166,Elastic Net; Bayesian Ridge; Mean Forecast Regression,0.073166; 0.070853; 0.070816,1,0.798
ealost_2025,7,1.257509,9.9369,10.6315,6.0661,26,2.8221,Elastic Net,0.083408,Elastic Net; Bayesian Ridge; Mean Forecast Regression,0.083408; 0.080155; 0.079745,1,0.8853
ealost_2025,8,1.313946,11.0007,11.6356,6.6538,15,2.533,Elastic Net,0.093906,Elastic Net; Bayesian Ridge; Mean Forecast Regression,0.093906; 0.090431; 0.089748,1,0.9762
ealost_2025,9,1.224328,11.9911,12.5797,7.2163,14,2.499,Elastic Net,0.096679,Elastic Net; Mean Forecast Regression; Stacked Ridge Meta,0.096679; 0.093011; 0.092344,1,0.9852
ealost_2025,10,1.160489,12.9296,13.4795,7.771,13,2.4326,Elastic Net,0.100241,Elastic Net; Mean Forecast Regression; Lasso Calendar Augmented,0.100241; 0.097933; 0.095075,1,0.9967
ealost_2025,11,1.064114,13.791,14.3088,8.2893,11,2.3789,Elastic Net,0.103677,Elastic Net; Mean Forecast Regression; Lasso Calendar Augmented,0.103677; 0.100878; 0.098972,1,1.0
ealost_2025,12,0.95618,14.565,15.0579,8.7546,11,2.3787,Elastic Net,0.106213,Elastic Net; Mean Forecast Regression; Median Forecast Ensemble,0.106213; 0.101741; 0.096075,1,1.0
ealost_2025,13,0.859385,15.257,15.7305,9.1716,11,2.3726,Elastic Net,0.107711,Elastic Net; Mean Forecast Regression; Median Forecast Ensemble,0.107711; 0.099334; 0.096919,1,1.0
ealost_2025,14,0.772032,15.8761,16.3337,9.5459,11,2.3648,Elastic Net,0.11163,Elastic Net; Mean Forecast Regression; Bayesian Ridge,0.111630; 0.098792; 0.096875,1,1.0
ealost_2025,15,0.697251,16.4289,16.8724,9.8849,11,2.3357,Elastic Net,0.117779,Elastic Net; Mean Forecast Regression; Lasso Calendar Augmented,0.117779; 0.102368; 0.102328,1,1.0
ealost_2025,16,0.629247,16.9256,17.3573,10.191,11,2.3221,Elastic Net,0.127207,Elastic Net; Mean Forecast Regression; Bayesian Ridge,0.127207; 0.105996; 0.103960,1,1.0
ealost_2025,17,0.568703,17.3734,17.7949,10.4681,11,2.3117,Elastic Net,0.124739,Elastic Net; Mean Forecast Regression; Bayesian Ridge,0.124739; 0.110310; 0.105999,1,1.0
ealost_2025,18,0.513791,17.7764,18.1888,10.719,11,2.3035,Elastic Net,0.122197,Elastic Net; Mean Forecast Regression; Bayesian Ridge,0.122197; 0.119503; 0.113671,1,1.0
ealost_2025,19,0.462626,18.1356,18.5412,10.9427,10,2.2792,Elastic Net,0.126471,Elastic Net; Mean Forecast Regression; Median Forecast Ensemble,0.126471; 0.126100; 0.116057,1,1.0
ealost_2025,20,0.414952,18.46,18.8599,11.1431,10,2.2762,Mean Forecast Regression,0.133385,Mean Forecast Regression; Elastic Net; Median Forecast Ensemble,0.133385; 0.127302; 0.114825,1,1.0
ealost_2025,21,0.370176,18.7556,19.1498,11.324,11,2.2906,Elastic Net,0.13239,Elastic Net; Mean Forecast Regression; Stacked Ridge Meta,0.132390; 0.130197; 0.114060,1,1.0
ealost_2025,22,0.332086,19.0169,19.4084,11.4809,10,2.2593,Elastic Net,0.141486,Elastic Net; Mean Forecast Regression; Stacked Ridge Meta,0.141486; 0.140388; 0.113771,1,1.0
ealost_2025,23,0.240618,19.1948,19.5848,11.5625,11,2.2899,Mean Forecast Regression,0.142576,Mean Forecast Regression; Elastic Net; Stacked Ridge Meta,0.142576; 0.133733; 0.128039,1,0.9818
ealost_2025,24,0.227405,19.3258,19.7156,11.6026,11,2.2738,Stacked Ridge Meta,0.155885,Stacked Ridge Meta; Elastic Net; PLSRegression,0.155885; 0.149101; 0.128327,1,0.9717
ealost_2025,25,0.215395,19.4423,19.8291,11.6329,12,2.2725,Stacked Ridge Meta,0.186871,Stacked Ridge Meta; Elastic Net; PLSRegression,0.186871; 0.158946; 0.115966,1,0.9664
ealost_2025,26,0.213839,19.4902,19.8779,11.5953,12,2.2598,Stacked Ridge Meta,0.215774,Stacked Ridge Meta; PLSRegression; Elastic Net,0.215774; 0.170037; 0.150168,1,0.9481
ealost_2025,27,0.21346,19.5763,19.9614,11.596,12,2.0903,Stacked Ridge Meta,0.294694,Stacked Ridge Meta; Elastic Net; PLSRegression,0.294694; 0.223044; 0.127322,1,0.9569
ealost_2025,28,0.191808,19.5973,19.9723,11.5402,10,1.7306,Stacked Ridge Meta,0.424224,Stacked Ridge Meta; Elastic Net; Ridge Regression,0.424224; 0.218285; 0.070938,1,0.9351
ealost_2025,29,0.150346,19.6616,20.028,11.5444,10,1.8179,Stacked Ridge Meta,0.386522,Stacked Ridge Meta; Elastic Net; Ridge Regression,0.386522; 0.214403; 0.104441,1,0.9545
ealost_2025,30,0.160348,19.6059,19.9674,11.443,8,1.622,Stacked Ridge Meta,0.415458,Stacked Ridge Meta; Elastic Net; Bayesian Ridge,0.415458; 0.238432; 0.098975,1,0.9247
ealost_2025,31,0.234504,19.795,20.1489,11.5764,6,1.249,Stacked Ridge Meta,0.48773,Stacked Ridge Meta; Elastic Net; Ridge Net Demand,0.487730; 0.323726; 0.074117,1,0.9955
ealost_2025,32,0.141874,19.7639,20.111,11.502,6,1.365,Stacked Ridge Meta,0.473306,Stacked Ridge Meta; Elastic Net; Ridge Regression,0.473306; 0.282004; 0.103288,1,0.93
ealost_2025,33,0.258493,19.9224,20.2539,11.6129,6,1.0815,Stacked Ridge Meta,0.640802,Stacked Ridge Meta; Elastic Net; Ridge Regression,0.640802; 0.169970; 0.108081,1,0.9837
ealost_2025,34,0.899391,19.4111,19.744,11.1236,5,0.9448,Stacked Ridge Meta,0.723722,Stacked Ridge Meta; Always Short; Multi Spread,0.723722; 0.120262; 0.071374,1,0.7666
ealost_2025,35,0.354636,19.6372,19.9621,11.3353,8,1.9889,Mean Forecast Regression,0.237793,Mean Forecast Regression; Stacked Ridge Meta; Lasso Calendar Augmented,0.237793; 0.155643; 0.136724,1,1.0
ealost_2025,36,0.27971,19.8604,20.1759,11.5184,6,1.43,Stacked Ridge Meta,0.483004,Stacked Ridge Meta; Mean Forecast Regression; PLSRegression,0.483004; 0.169738; 0.165986,1,1.0
ealost_2025,37,0.17321,19.9918,20.301,11.6055,4,1.0229,Stacked Ridge Meta,0.596148,Stacked Ridge Meta; PLSRegression; Mean Forecast Regression,0.596148; 0.209188; 0.172650,1,0.978
ealost_2025,38,0.463901,19.6763,19.9921,11.27,5,1.375,Stacked Ridge Meta,0.426517,Stacked Ridge Meta; Mean Forecast Regression; PLSRegression,0.426517; 0.284738; 0.140535,1,0.8518
ealost_2025,39,0.328746,19.8804,20.1959,11.457,7,1.7891,PLSRegression,0.27622,PLSRegression; Mean Forecast Regression; Stacked Ridge Meta,0.276220; 0.216991; 0.201926,1,1.0
